text,severity
"Offensive sexual comments made to me by a colleague in the office corridor.",High
"My manager sent an explicit photo in a work group chat without consent.",Very High
"A coworker repeatedly asked me out despite saying no several times.",High
"Someone touched my shoulder and back in a way that made me uncomfortable at work.",Medium
"I received unwanted sexually suggestive messages from a team member via company email.",High
"The team lead made derogatory jokes about my body and appearance.",Medium
"I was pressured for a date in exchange for a promotion by a senior employee.",Very High
"Colleague blocked my exit and made uncomfortable physical advances.",Very High
"Explicit sexual content was shown on a shared work station screen without my permission.",High
"A coworker kept staring and leering at me in the workplace.",Medium
"Someone sent persistent unsolicited messages on WhatsApp about personal life.",Medium
"The office supervisor made sexually suggestive comments in a meeting.",High
"I was asked inappropriate questions about my relationship status by peers.",Low
"Someone repeatedly brushed past me in a way that felt intentional and unwelcome.",Medium
"My boss sent sexual emoticons and inappropriate remarks on Slack.",Very High
"An employee made offensive remarks about women in general during work hours.",Low
"During a team lunch, a colleague attempted to put an arm around me uninvited.",High
"A coworker showed me sexually explicit images from their phone at desk.",Very High
"I was criticized and humiliated in front of colleagues for refusing advances.",High
"Someone made gender-based demeaning remarks creating a hostile environment.",Medium
